index,CIP13_court,CIP13_long,numero_dossier,type_rupture,date_debut,date_fin,col7,url_detail,nom_rupture,nom_marque,idx,CIS_matched,nom_matched,methode,CIS,code_ATC
102,62404028,3400937136860.0,2,Tension d'approvisionnement,19/06/2025,04/06/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tarka-lp-180-mg-2-mg-comprime-pellicule-a-liberation-prolongee-boite-de-30-comprimes-et-de-90-comprimes-trandolapril-verapamil-chlorhydrate-de,tarka lp 180 mg 2 mg comprime pellicule a liberation prolongee boite de 30 comprimes et de 90 comprimes trandolapril verapamil chlorhydrate de,tarka lp,102,62404028.0,"TARKA LP 180 mg/2 mg, comprimé pelliculé à libération prolongée",nom_marque_exact,62404028.0,C09BB10
103,62404028,3400937125574.0,2,Tension d'approvisionnement,19/06/2025,04/06/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tarka-lp-180-mg-2-mg-comprime-pellicule-a-liberation-prolongee-boite-de-30-comprimes-et-de-90-comprimes-trandolapril-verapamil-chlorhydrate-de,tarka lp 180 mg 2 mg comprime pellicule a liberation prolongee boite de 30 comprimes et de 90 comprimes trandolapril verapamil chlorhydrate de,tarka lp,103,62404028.0,"TARKA LP 180 mg/2 mg, comprimé pelliculé à libération prolongée",nom_marque_exact,62404028.0,C09BB10
104,64603331,3400939314204.0,2,Tension d'approvisionnement,19/03/2025,04/06/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tarka-lp-240-mg-2-mg-comprime-pellicule-a-liberation-prolongee-boite-de-90-comprimes-trandolapril-verapamil-chlorhydrate-de,tarka lp 240 mg 2 mg comprime pellicule a liberation prolongee boite de 90 comprimes trandolapril verapamil chlorhydrate de,tarka lp,104,64603331.0,"TARKA LP 240 mg/2 mg, comprimé pelliculé à libération prolongée",nom_marque_exact,64603331.0,C09BB10
105,64603331,3400939314433.0,2,Tension d'approvisionnement,19/03/2025,04/06/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tarka-lp-240-mg-2-mg-comprime-pellicule-a-liberation-prolongee-boite-de-90-comprimes-trandolapril-verapamil-chlorhydrate-de,tarka lp 240 mg 2 mg comprime pellicule a liberation prolongee boite de 90 comprimes trandolapril verapamil chlorhydrate de,tarka lp,105,64603331.0,"TARKA LP 240 mg/2 mg, comprimé pelliculé à libération prolongée",nom_marque_exact,64603331.0,C09BB10
106,61779947,,3,Arrêt de commercialisation,06/10/2023,28/04/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/digidot-80mg-poudre-pour-solution-pour-perfusion-digifab-importation-fragment-fab-dimmunoglobuline-antidigitalique-ovin,digidot 80mg poudre pour solution pour perfusion digifab importation fragment fab dimmunoglobuline antidigitalique ovin,digidot,106,,,aucun,,
107,66661251,,3,Arrêt de commercialisation,31/12/2022,28/04/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/imogam-rage-150-ui-ml-solution-injectable-immunoglobuline-humaine-rabique,imogam rage 150 ui ml solution injectable immunoglobuline humaine rabique,imogam rage,107,66661251.0,"IMOGAM RAGE 150 UI/mL, solution injectable",nom_marque_exact,,
108,62110699,,4,Remise à disposition,27/04/2026,27/04/2026,27/04/2026,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/lyrica-20-mg-ml-solution-buvable-pregabaline,lyrica 20 mg ml solution buvable pregabaline,lyrica,108,62110699.0,"LYRICA 20 mg/ml, solution buvable",nom_marque_exact,62110699.0,N02BF02
109,64548283,,4,Remise à disposition,24/04/2026,27/04/2026,24/04/2026,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/dopamine-viatris-40-mg-ml-solution-pour-perfusion-dopamine-chlorhydrate-de,dopamine viatris 40 mg ml solution pour perfusion dopamine chlorhydrate de,dopamine viatris,109,64548283.0,"DOPAMINE VIATRIS 40 mg/ml, solution pour perfusion",nom_marque_exact,64548283.0,C01CA04
110,69201849,,2,Tension d'approvisionnement,20/01/2026,27/04/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/varivax-poudre-et-solvant-pour-suspension-injectable-en-seringue-preremplie-vaccin-varicelleux-vivant-virus-de-la-varicelle-souche-oka-vivant-attenue-mammiferes-humain-cellules-diploides-mrc-5,varivax poudre et solvant pour suspension injectable en seringue preremplie vaccin varicelleux vivant virus de la varicelle souche oka vivant attenue mammiferes humain cellules diploides mrc 5,varivax poudre et,110,,,aucun,,
111,66069851,,1,Rupture de stock,05/11/2025,27/04/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tiberal-1-g-solution-injectable-pour-perfusion-ornidazole,tiberal 1 g solution injectable pour perfusion ornidazole,tiberal,111,66069851.0,"TIBERAL 1 g, solution injectable pour perfusion",nom_marque_exact,,
112,69379595,,2,Tension d'approvisionnement,08/06/2023,27/04/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/methylphenidate-viatris-lp-comprime-a-liberation-prolongee-methylphenidate-chlorhydrate-de,methylphenidate viatris lp comprime a liberation prolongee methylphenidate chlorhydrate de,methylphenidate viatris lp,112,68296221.0,"METHYLPHENIDATE VIATRIS LP 18 mg, comprimé à libération prolongée",nom_marque_exact,68296221.0,N06BA04
