periode,capacite_fabricant,disruption_fabricant,duree_disruption_restante,demande_patient,demande_prevue,commande_pharmacie,commande_grossiste,livraison_grossiste,livraison_pharmacie,demande_non_servie,taux_service,stock_grossiste,stock_pharmacie,stock_transit_fg,stock_transit_gp,rupture_grossiste,rupture_pharmacie,target_rupture_4_semaines
34,130.0,False,0,98.85130279571095,95.70782976968582,96.90584983203547,582.0138360771305,130.0,136.95717101389778,0.0,1.0,1106.7368226786575,236.90784815583717,520.0,96.90584983203547,False,False,0
35,130.0,False,0,110.26234578318966,93.0663956010799,56.15854744524273,586.3295729224224,130.0,96.90584983203547,0.0,1.0,1139.830972846622,223.55135220468296,520.0,56.15854744524273,False,False,0
36,130.0,False,0,91.34444451776477,95.3994101040409,71.84805789935794,555.568437257419,130.0,56.15854744524273,0.0,1.0,1213.6724254013793,188.3654551321609,520.0,71.84805789935794,False,False,0
37,130.0,False,0,120.11339810576001,94.46393671082964,106.09848157866875,480.79151130945036,130.0,71.84805789935794,0.0,1.0,1271.8243675020215,140.1001149257588,520.0,106.09848157866875,False,False,0
38,130.0,False,0,88.62357546976396,98.08851996679739,157.98840504103862,426.2641524647759,130.0,106.09848157866875,0.0,1.0,1295.7258859233527,157.57502103466356,520.0,157.98840504103862,False,False,0
39,130.0,False,0,103.00861335735861,98.19149165670639,140.6164706220428,402.46560573335364,130.0,157.98840504103862,0.0,1.0,1267.7374808823142,212.55481271834356,520.0,140.6164706220428,False,False,0
40,130.0,False,0,98.40994474542697,100.4110009224798,87.85618820413625,432.67352004016556,130.0,140.6164706220428,0.0,1.0,1257.1210102602713,254.7613385949594,520.0,87.85618820413625,False,False,0
41,130.0,False,0,119.81886886884942,99.99229136397612,45.230952769016724,442.8712811037048,130.0,87.85618820413625,0.0,1.0,1299.264822056135,222.7986579302462,520.0,45.230952769016724,False,False,0
42,130.0,False,0,109.95985373767755,103.80406170547805,81.00540377523184,404.539239649343,130.0,45.230952769016724,0.0,1.0,1384.0338692871183,158.0697569615854,520.0,81.00540377523184,False,False,0
43,130.0,False,0,151.02725701224185,105.19263057322387,147.12287361163845,321.15876128610563,130.0,81.00540377523184,0.0,1.0,1433.0284655118865,88.04790372457538,520.0,147.12287361163845,False,False,0
44,130.0,False,0,106.91482261622755,110.2882444768554,222.24034075228002,277.259778964969,130.0,147.12287361163845,0.0,1.0,1415.905591900248,128.25595471998628,520.0,222.24034075228002,False,False,0
45,130.0,False,0,102.10904586472171,112.23454173916323,183.97858701917696,296.32894983891515,130.0,222.24034075228002,0.0,1.0,1323.665251147968,248.3872496075446,520.0,183.97858701917696,False,False,0
46,130.0,False,0,95.20244798693597,109.98399770903345,61.596748101488856,386.3187465610654,130.0,183.97858701917696,0.0,1.0,1269.686664128791,337.1633886397856,520.0,61.596748101488856,False,False,0
47,130.0,False,0,102.5533113258309,110.80635677367995,0.0,441.11969264488886,130.0,61.596748101488856,0.0,1.0,1338.0899160273023,296.2068254154435,520.0,0.0,False,False,0
48,130.0,False,0,60.735998887149506,110.74944401973899,14.54261860429547,372.6595279924367,130.0,0.0,0.0,1.0,1468.0899160273023,235.47082652829403,520.0,14.54261860429547,False,False,0
49,130.0,False,0,92.73619800118563,106.04020078745431,70.56937425916028,237.95028476015204,130.0,14.54261860429547,0.0,1.0,1583.5472974230067,157.27724713140384,520.0,70.56937425916028,False,False,0
50,130.0,False,0,95.84815144367434,102.65486692899633,145.3776197975925,119.10756950598959,130.0,70.56937425916028,0.0,1.0,1642.9779231638465,131.99846994688977,520.0,145.3776197975925,False,False,0
51,130.0,False,0,77.68589597949942,100.89090414224593,168.89243419535615,57.9129809783994,130.0,145.3776197975925,0.0,1.0,1627.6003033662541,199.69019376498284,520.0,168.89243419535615,False,False,0
52,130.0,False,0,95.38366803419461,91.72323401315313,92.0330402481703,64.122930646899,130.0,168.89243419535615,0.0,1.0,1588.707869170898,273.19895992614437,520.0,92.0330402481703,False,False,0
53,130.0,False,0,94.35064707021247,90.28183969039901,17.082879764254642,101.57397051950102,130.0,92.0330402481703,0.0,1.0,1626.6748289227278,270.8813531041022,520.0,17.082879764254642,False,False,0
54,130.0,False,0,129.35930363506228,89.31203984108535,18.430686736983176,62.63721091835757,130.0,17.082879764254642,0.0,1.0,1739.5919491584732,158.60492923329454,520.0,18.430686736983176,False,False,0
55,102.93981147681127,False,0,91.23295413564017,93.58164679710114,134.9767175638066,0.0,130.0,18.430686736983176,0.0,1.0,1851.16126242149,85.80266183463755,492.93981147681126,134.9767175638066,False,False,0
56,101.38326236316004,False,0,114.35498629159214,92.1666021483273,206.36394031368974,0.0,130.0,134.9767175638066,0.0,1.0,1846.1845448576832,106.42439310685201,464.3230738399713,206.36394031368974,False,False,0
57,111.73136757145113,False,0,129.84702208485137,98.86897557388264,192.4445824670306,0.0,130.0,206.36394031368974,0.0,1.0,1769.8206045439936,182.94131133569036,446.05444141142243,192.4445824670306,False,False,0
58,113.85861144277496,False,0,86.79304188763591,103.50782858434086,120.5665172486505,0.0,130.0,192.4445824670306,0.0,1.0,1707.376022076963,288.592851915085,429.9130528541974,120.5665172486505,False,False,0
59,112.61353387881967,False,0,84.24838266203624,102.37593988983605,13.783087974751027,0.0,102.93981147681127,120.5665172486505,0.0,1.0,1689.7493163051236,324.91098650169926,439.5867752562058,13.783087974751027,False,False,0
60,113.51587579766847,False,0,74.74417592128381,103.19625072515315,0.0,13.446934420029592,101.38326236316004,13.783087974751027,0.0,1.0,1777.3494906935327,263.94989855516644,451.71938869071425,0.0,False,False,0
61,110.67794563214323,False,0,93.62033793240983,100.6163142110393,36.666415655872854,0.0,111.73136757145113,0.0,0.0,1.0,1889.0808582649838,170.32956062275662,450.66596675140636,36.666415655872854,False,False,0
62,88.46202250055632,True,25,92.71217414461384,100.52502556881397,130.19546494605737,0.0,113.85861144277496,36.666415655872854,0.0,1.0,1966.2730540518858,114.28380213401564,425.2693778091877,130.19546494605737,False,False,0
63,84.43083825660698,True,24,100.52264653598554,95.94413438250791,181.66033224849227,0.0,112.61353387881967,130.19546494605737,0.0,1.0,1948.691122984648,143.95662054408746,397.086682186975,181.66033224849227,False,False,0
64,85.45270442064498,True,23,71.59411155625806,97.10534593255109,153.14872538846362,0.0,113.51587579766847,181.66033224849227,0.0,1.0,1880.5466665338242,254.02284123632165,369.0235108099515,153.14872538846362,False,False,0
65,80.74900819975822,True,22,133.05629953414604,91.76023659063432,37.73739535431267,0.0,110.67794563214323,153.14872538846362,0.0,1.0,1838.075886777504,274.11526709063924,339.09457337756646,37.73739535431267,False,False,0
66,81.10202871918062,True,21,103.87562635283585,92.16139627179615,18.046129181156914,0.0,88.46202250055632,37.73739535431267,0.0,1.0,1888.8005139237475,207.977036092116,331.73457959619077,18.046129181156914,False,False,0
67,82.98111301035262,True,20,89.60038809376424,94.29671932994614,86.31968323783013,0.0,84.43083825660698,18.046129181156914,0.0,1.0,1955.1852229991975,136.42277717950867,330.28485434993644,86.31968323783013,False,False,0
